time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-27T00:01:06.700Z,18.8728,-64.3161,23,2.3,Md,3,338.4,0.68990614,0.15,pr,pr16118001,2016-04-27T03:52:17.669Z,"59km NNE of Road Town, British Virgin Islands",earthquake,2.5,14.8,0,2,reviewed,pr,pr
2016-04-26T23:55:21.680Z,46.1538333,-122.8631667,4.453,1.5,ml,12,172,0.08342,0.09,uw,uw61146656,2016-04-27T06:08:52.080Z,"3km ENE of Kelso, Washington",earthquake,0.62,2.05,0.22,20,reviewed,uw,uw
2016-04-26T23:54:26.980Z,-17.3678,-174.2314,108.7,4.6,mb,,74,4.172,0.83,us,us10005bt6,2016-04-27T00:14:15.284Z,"144km N of Neiafu, Tonga",earthquake,10.5,7.5,0.049,124,reviewed,us,us
2016-04-26T23:44:22.000Z,63.2526,-151.7694,1,1.6,ml,,,,0.39,ak,ak13498415,2016-04-27T00:20:35.847Z,"133km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-04-26T23:33:46.600Z,36.5864983,-121.19133,5.65,1.94,md,13,132,0.1035,0.07,nc,nc72627685,2016-04-27T03:05:03.252Z,"21km NE of Soledad, California",earthquake,0.33,2.13,0.18,11,automatic,nc,nc
2016-04-26T23:08:34.000Z,63.1606,-144.3521,5,1.6,ml,,,,0.34,ak,ak13498413,2016-04-27T00:19:36.483Z,"71km WSW of Tok, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-04-26T22:56:14.150Z,19.693,-70.3643,26.62,3.9,mb,,81,0.432,1.46,us,us10005bst,2016-04-26T23:20:59.765Z,"7km SE of Cabarete, Dominican Republic",earthquake,6.1,9.6,0.297,3,reviewed,us,us
2016-04-26T22:55:31.720Z,45.0521667,-111.7811667,3.5,1.15,ml,9,150,0.258,0.11,mb,mb80140539,2016-04-26T23:07:28.060Z,"29km SSE of Virginia City, Montana",quarry blast,1.51,31.61,0.211,5,reviewed,mb,mb
2016-04-26T22:53:02.000Z,59.5424,-144.7176,4.1,2.5,ml,,,,0.79,ak,ak13498374,2016-04-26T23:34:44.188Z,"92km E of Middleton Island, Alaska",earthquake,1.9,0.6,,,automatic,ak,ak
2016-04-26T22:45:25.990Z,38.7953339,-122.8106689,2.71,1.23,md,15,124,0.009178,0.03,nc,nc72627665,2016-04-27T01:56:03.135Z,"5km WNW of The Geysers, California",earthquake,0.39,0.64,0.12,5,automatic,nc,nc
2016-04-26T22:44:44.600Z,38.795166,-122.8098297,2.51,2.19,md,36,86,0.008634,0.04,nc,nc72627655,2016-04-27T01:30:03.078Z,"5km WNW of The Geysers, California",earthquake,0.2,0.29,0.25,15,automatic,nc,nc
2016-04-26T22:41:38.000Z,65.0001,-147.3295,0.1,1.6,ml,,,,0.87,ak,ak13498368,2016-04-26T23:33:51.415Z,"24km NNE of Badger, Alaska",earthquake,0.2,0.4,,,automatic,ak,ak
2016-04-26T22:39:38.770Z,43.0188,145.8873,72.28,4.7,mb,,135,2.253,0.93,us,us10005bsq,2016-04-26T22:57:07.395Z,"42km SE of Nemuro, Japan",earthquake,7.1,8,0.055,102,reviewed,us,us
2016-04-26T22:31:24.000Z,62.7479,-149.6472,64.5,1.6,ml,,,,0.47,ak,ak13498366,2016-04-26T23:33:50.746Z,"52km NNE of Talkeetna, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-04-26T22:28:14.930Z,47.5043333,-121.9803333,-0.19,1.51,ml,12,83,0.1442,0.31,uw,uw61146621,2016-04-26T23:42:57.630Z,"4km SE of Issaquah, Washington",earthquake,0.63,1.27,0.123,6,reviewed,uw,uw
2016-04-26T21:58:35.510Z,-0.2317,-80.7498,10,5.3,mb,,96,2.259,1,us,us10005bsh,2016-04-27T12:20:07.040Z,"55km NW of Bahia de Caraquez, Ecuador",earthquake,5.3,1.9,0.029,383,reviewed,us,us
2016-04-26T21:44:38.640Z,34.2785,-117.0273333,5.93,1.15,ml,40,53,0.08973,0.15,ci,ci37336743,2016-04-27T01:14:28.105Z,"11km NE of Running Springs, CA",earthquake,0.2,0.55,0.105,26,reviewed,ci,ci
2016-04-26T21:41:45.060Z,32.8218333,-115.6085,12.41,1.43,ml,18,115,0.08902,0.21,ci,ci37336735,2016-04-27T01:20:57.307Z,"5km SW of Imperial, CA",earthquake,0.46,0.7,0.171,20,reviewed,ci,ci
2016-04-26T21:26:50.170Z,33.0783333,-115.644,25.3,1.43,ml,11,100,0.1017,0.3,ci,ci37336727,2016-04-26T21:31:44.938Z,"5km NNW of Westmorland, CA",earthquake,1.15,3.1,0.307,17,automatic,ci,ci
2016-04-26T21:26:33.460Z,35.7438333,-82.577,0.69,1.68,md,5,159,0.2055,0.06,se,se60025608,2016-04-26T23:34:18.640Z,"5km NNW of Weaverville, North Carolina",earthquake,0.5,9.32,0.076,4,reviewed,se,se
2016-04-26T21:07:15.390Z,26.4678,-44.6123,10,4.8,mb,,106,18.335,0.62,us,us10005bse,2016-04-26T21:58:34.365Z,"Northern Mid-Atlantic Ridge",earthquake,12,1.9,0.055,101,reviewed,us,us
2016-04-26T20:49:00.054Z,37.2122,-116.0603,0,1.9,ml,33,46.36,0.024,0.1903,nn,nn00541975,2016-04-26T21:37:18.332Z,"70km ENE of Beatty, Nevada",explosion,,0,0.17,20,reviewed,nn,nn
2016-04-26T20:42:07.000Z,59.879,-153.1862,127.6,2.4,ml,,,,0.32,ak,ak13497863,2016-04-26T21:40:15.843Z,"71km SSW of Redoubt Volcano, Alaska",earthquake,0.7,0.7,,,automatic,ak,ak
2016-04-26T20:39:08.890Z,35.7425,-82.576,1.25,1.38,md,3,159,0.2058,0.07,se,se60025603,2016-04-26T23:39:57.890Z,"5km NNW of Weaverville, North Carolina",earthquake,0.52,8.64,0.186,3,reviewed,se,se
2016-04-26T20:28:40.000Z,62.7193,-149.6966,74.6,4.6,ml,,,,0.66,ak,ak13497821,2016-04-27T12:10:37.040Z,"52km NNE of Talkeetna, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-04-26T20:21:40.170Z,33.6425,-116.7735,15.19,1.12,ml,40,34,0.04931,0.1,ci,ci37336719,2016-04-27T01:30:14.610Z,"12km SSW of Idyllwild, CA",earthquake,0.14,0.23,0.136,29,reviewed,ci,ci
2016-04-26T20:14:37.000Z,63.5027,-150.786,3.2,1.8,ml,,,,0.46,ak,ak13497819,2016-04-26T21:24:51.442Z,"92km W of Cantwell, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-04-26T20:12:58.400Z,18.2628,-66.7242,18,2.1,Md,16,57.6,0.0880349,0.11,pr,pr16117007,2016-04-26T20:44:04.989Z,"2km W of Utuado, Puerto Rico",earthquake,0.2,0.3,0,14,reviewed,pr,pr
2016-04-26T19:58:15.660Z,-21.0582,-68.7121,132.63,4.9,mb,,35,0.724,1.4,us,us10005brg,2016-04-26T21:13:17.887Z,"157km N of Calama, Chile",earthquake,5.7,6.6,0.068,67,reviewed,us,us
2016-04-26T19:56:23.370Z,19.3643333,-155.2873333,2.844,1.87,ml,29,62,0.02271,0.09,hv,hv61242361,2016-04-26T20:40:02.380Z,"9km SW of Volcano, Hawaii",earthquake,0.2,0.31,0.091,14,reviewed,hv,hv
2016-04-26T19:54:43.990Z,47.5076667,-122.002,9.79,2.4,ml,30,55,0.07727,0.45,uw,uw61130802,2016-04-26T20:47:34.650Z,"3km SE of Issaquah, Washington",earthquake,0.55,31.61,0.155,95,reviewed,uw,uw
